observation_date,WUIVNM
2001-04-01,0.0000000
2001-07-01,0.0000000
2001-10-01,0.0797003
2002-01-01,0.0000000
2002-04-01,0.1752234
2002-07-01,0.0000000
2002-10-01,0.0750525
2003-01-01,0.0000000
2003-04-01,0.2042623
2003-07-01,0.2089573
2003-10-01,0.0000000
2004-01-01,0.0000000
2004-04-01,0.0000000
2004-07-01,0.0000000
2004-10-01,0.0000000
2005-01-01,0.0000000
2005-04-01,0.2042067
2005-07-01,0.1314838
2005-10-01,0.0650280
2006-01-01,0.0697837
2006-04-01,0.0742501
2006-07-01,0.0000000
2006-10-01,0.0000000
2007-01-01,0.0718442
2007-04-01,0.0000000
2007-07-01,0.0000000
2007-10-01,0.0000000
2008-01-01,0.1107174
2008-04-01,0.2134700
2008-07-01,0.2313744
2008-10-01,0.1105705
2009-01-01,0.2208968
2009-04-01,0.2037075
2009-07-01,0.0984834
2009-10-01,0.1902226
2010-01-01,0.1030715
2010-04-01,0.2137894
2010-07-01,0.3047232
2010-10-01,0.2041025
2011-01-01,0.0951022
2011-04-01,0.2059944
2011-07-01,0.0000000
2011-10-01,0.0000000
2012-01-01,0.0994431
2012-04-01,0.1023751
2012-07-01,0.0903179
2012-10-01,0.0851716
2013-01-01,0.0840619
2013-04-01,0.2769316
2013-07-01,0.0943931
2013-10-01,0.3694126
2014-01-01,0.3859265
2014-04-01,0.2549395
2014-07-01,0.1751927
2014-10-01,0.1279263
2015-01-01,0.1030503
2015-04-01,0.1292992
2015-07-01,0.1467782
2015-10-01,0.1392661
2016-01-01,0.0000000
2016-04-01,0.0000000
2016-07-01,0.0000000
2016-10-01,0.1643926
2017-01-01,0.0000000
2017-04-01,0.0000000
2017-07-01,0.0000000
2017-10-01,0.1331469
2018-01-01,0.0000000
2018-04-01,0.0000000
2018-07-01,0.0000000
2018-10-01,0.0000000
2019-01-01,0.0000000
2019-04-01,0.0000000
2019-07-01,0.0000000
2019-10-01,0.0000000
2020-01-01,0.0000000
2020-04-01,0.0000000
2020-07-01,0.0686719
2020-10-01,0.1550868
2021-01-01,0.0000000
2021-04-01,0.1682086
2021-07-01,0.0873820
2021-10-01,0.0000000
2022-01-01,0.0818666
2022-04-01,0.2903811
